Player,Team,Round,Overall_Rating
Callum Ah Chee,Adelaide,4,1.85
Sam Berry,Adelaide,4,2.84
Hugh Bond,Adelaide,4,2.4
James Borlase,Adelaide,4,1.79
Jordon Butts,Adelaide,4,2.74
Brayden Cook,Adelaide,4,2.89
Isaac Cumming,Adelaide,4,2.26
Daniel Curtin,Adelaide,4,2.86
Jordan Dawson,Adelaide,4,2.75
Sid Draper,Adelaide,4,1.38
Darcy Fogarty,Adelaide,4,2.11
Mitchell Hinge,Adelaide,4,2.43
Chayce Jones,Adelaide,4,2.25
Mark Keane,Adelaide,4,2.67
Ben Keays,Adelaide,4,2.3
Rory Laird,Adelaide,4,2.57
Finnbar Maley,Adelaide,4,2.21
Lachlan McAndrew,Adelaide,4,2.67
Max Michalanney,Adelaide,4,2.41
Wayne Milera,Adelaide,4,2.59
Nick Murray,Adelaide,4,2.94
Luke Nankervis,Adelaide,4,2.1
Alex Neal-Bullen,Adelaide,4,2.62
Reilly O'Brien,Adelaide,4,2.73
James Peatling,Adelaide,4,2.28
Luke Pedlar,Adelaide,4,1.81
Josh Rachele,Adelaide,4,2.53
Izak Rankine,Adelaide,4,2.45
Lachlan Sholl,Adelaide,4,2.14
Jake Soligo,Adelaide,4,2.35
Zac Taylor,Adelaide,4,2.27
Riley Thilthorpe,Adelaide,4,3.06
Taylor Walker,Adelaide,4,2.73
Josh Worrell,Adelaide,4,2.89
Oscar Allen,Brisbane,4,2.08
Harris Andrews,Brisbane,4,3.36
Noah Answerth,Brisbane,4,1.92
Levi Ashcroft,Brisbane,4,2.6
Will Ashcroft,Brisbane,4,2.74
Zac Bailey,Brisbane,4,2.5
Jarrod Berry,Brisbane,4,2.88
Charlie Cameron,Brisbane,4,2.83
Keidean Coleman,Brisbane,4,2.35
Sam Draper,Brisbane,4,2.16
Josh Dunkley,Brisbane,4,2.58
Jaspa Fletcher,Brisbane,4,2.59
Darcy Fort,Brisbane,4,2.75
Ty Gallop,Brisbane,4,1.96
Darcy Gardiner,Brisbane,4,2.33
Eric Hipwood,Brisbane,4,2.51
Ryan Lester,Brisbane,4,2.92
Kai Lohmann,Brisbane,4,2.93
Sam Marshall,Brisbane,4,1.77
Lincoln McCarthy,Brisbane,4,2.63
Hugh McCluggage,Brisbane,4,3.0
Conor McKenna,Brisbane,4,1.59
Will McLachlan,Brisbane,4,2.07
Logan Morris,Brisbane,4,2.54
Lachie Neale,Brisbane,4,2.85
Jack Payne,Brisbane,4,2.79
Cameron Rayner,Brisbane,4,2.91
Bruce Reville,Brisbane,4,2.81
Henry Smith,Brisbane,4,2.24
James Tunstill,Brisbane,4,2.17
Darcy Wilmot,Brisbane,4,2.64
Dayne Zorko,Brisbane,4,2.85
Blake Acres,Carlton,4,2.65
Ben Ainsworth,Carlton,4,2.53
Lucas Camporeale,Carlton,4,2.13
Matt Carroll,Carlton,4,2.56
Adam Cerra,Carlton,4,2.78
Campbell Chesser,Carlton,4,2.15
Matt Cottrell,Carlton,4,2.27
Lachlan Cowan,Carlton,4,2.14
Patrick Cripps,Carlton,4,2.9
Francis Evans,Carlton,4,2.75
Oliver Florent,Carlton,4,2.78
Lachlan Fogarty,Carlton,4,1.98
Nick Haynes,Carlton,4,2.92
Will Hayward,Carlton,4,2.53
George Hewett,Carlton,4,2.64
Elijah Hollands,Carlton,4,2.75
Oliver Hollands,Carlton,4,2.39
Brodie Kemp,Carlton,4,2.16
Cooper Lord,Carlton,4,2.77
Mitch McGovern,Carlton,4,3.0
Harry McKay,Carlton,4,2.77
Ashton Moir,Carlton,4,2.49
Jesse Motlop,Carlton,4,2.56
Nic Newman,Carlton,4,3.21
Harry O'Farrell,Carlton,4,2.34
Hudson O'Keeffe,Carlton,4,2.39
Marc Pittonet,Carlton,4,2.42
Adam Saad,Carlton,4,2.56
Jagga Smith,Carlton,4,2.39
Sam Walsh,Carlton,4,2.83
Jacob Weitering,Carlton,4,2.78
Billy Wilson,Carlton,4,1.97
Flynn Young,Carlton,4,2.26
Lewis Young,Carlton,4,2.21
Edward Allan,Collingwood,4,1.97
Jack Buller,Collingwood,4,2.42
Darcy Cameron,Collingwood,4,2.76
